,X,Article_title,Name_first,Name_last,Num_authors,H_index_first,H_index_last,Num_publications_first,Num_publications_last,Num_preprints_first,Num_preprints_last,ECR_status_first,TypeOf_ECR_First,ECR_status_last,TypeOf_ECR_Last,Institution_size_first,TypeOf_Institution,Country,Continent,ImpactFactor,Journal,gender_first,gender_last,ECR_status_first_simplified,ECR_status_last_simplified
11,11,The simulation extrapolation technique meets ecology and evolution: A general and intuitive method to account for measurement error,Erica Ponzi,Stefanie Muff,3,5,14,9,45,3,4,ECR,Post doc,ECR,Post doc,Large,Public,Switzerland,Europe,NA,BioRxiv,female,female,ECR,ECR
12,12,"Mosaic evolution, preadaptation, and the evolution of evolvability in apes",Caroline Parins-Fukuchi,NA,1,3,NA,10,NA,7,NA,ECR,Early career research fellow,NA,NA,Medium,Private,USA,North America,NA,BioRxiv,female,NA,ECR,ECR
13,13,Integrating behaviour and ecology into global 1 2 biodiversity conservation strategies,Joseph A. Tobias,Alex L. Pigot,2,42,13,151,33,11,1,Professor,NA,ECR,NA,Medium,Public,England/UK,Europe,NA,BioRxiv,male,male,Non_ECR,ECR
14,14,Beyond the ecology of fear: non-lethal effects of predators are strong whereas 2 those of parasites are diverse,David Daversa,Volker Rudolf,8,6,31,17,86,2,1,ECR,Post doc,Professor,NA,Large,Public,England/UK,Europe,NA,BioRxiv,male,NA,ECR,Non_ECR
15,15,On the evolutionary ecology of multidrug resistance in bacteria,Sonja Lehtinen,Christophe Fraser,5,8,72,13,205,2,17,ECR,Professor,Professor,NA,Large,Public,England/UK,Europe,NA,BioRxiv,female,male,ECR,Non_ECR
16,16,De Novo Growth of Methanogenic Granules Indicates a Biofilm Life-Cycle with Complex Ecology,Anna C. Trego,Gavin Collins,11,2,33,10,138,2,3,ECR,Post doc,Professor,NA,Medium,Public,Ireland/UK,Europe,NA,BioRxiv,female,male,ECR,Non_ECR
17,17,Gene Content Evolution in the Arthropods,Gregg W.C. Thomas,Stephen Richards,79,15,48,26,108,10,9,ECR,Post doc,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,male,male,ECR,Non_ECR
18,18,How Homeostasis Limits Keratinocyte Evolution,Ryan O. Schenck,Alexander R. A. Anderson,7,6,54,15,270,8,44,ECR,PhD,Professor,NA,Large,Public,England/UK,Europe,NA,BioRxiv,male,male,ECR,Non_ECR
19,19,Simple study designs in ecology produce inaccurate estimates of biodiversity responses,Alec P. Christie,William J. Sutherland,7,5,105,9,720,5,11,ECR,PhD,Professor,NA,Large,Public,England/UK,Europe,NA,BioRxiv,male,male,ECR,Non_ECR
20,20,Evolution of herbivory remodels a Drosophila genome,Andrew D. Gloss,Noah K. Whiteman,19,8,31,18,77,4,6,ECR,Post doc,Professor,NA,Medium,Public,USA,North America,NA,BioRxiv,male,male,ECR,Non_ECR
21,21,Mosquito and primate ecology predict human risk of yellow fever virus spillover in Brazil,Marissa Childs,Erin A. Mordecai,4,4,20,10,90,3,19,ECR,PhD,Professor,NA,Medium,Private,USA,North America,NA,BioRxiv,female,female,ECR,Non_ECR
22,22,Effects of prey turnover on poison frog toxins: a landscape ecology approach to assess how biotic interactions affect species phenotypes,Ivan Prates,Ana Carolina Carnaval,4,10,27,26,78,1,1,ECR,Post doc,Professor,NA,Medium,Public,USA,North America,NA,BioRxiv,male,female,ECR,Non_ECR
23,23,Modelling marine larval dispersal: a cautionary deep-sea tale for ecology and conservation,Rebecca E. Ross,Kerry Howell,4,7,24,21,85,3,2,ECR,Post doc,Professor,NA,Large,Public,England/UK,Europe,NA,BioRxiv,female,female,ECR,Non_ECR
24,24,"Quantifying shape, integration, and ecology in avian pedal claws: comparing geometric morphometric and traditional metric approaches",Brandon Hedrick,Peter Dodson,5,9,48,33,223,3,1,ECR,Professor,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,male,male,ECR,Non_ECR
25,25,Evolution of Specialization in Dynamic Fluids,Gurdip Uppal,Dervis Can-Vural,2,2,7,10,32,3,6,ECR,PhD,Professor,NA,Medium,Private,USA,North America,NA,BioRxiv,NA,NA,ECR,Non_ECR
26,26,"Scale-dependent effects of geography, host ecology, and host genetics on diversity of a stickleback parasite metacommunity",Daniel I. Bolnick,William E. Stutz,5,59,12,163,25,15,4,Professor,NA,ECR,NA,Large,Public,USA,North America,NA,BioRxiv,male,male,Non_ECR,ECR
27,27,Evolution of C4 photosynthesis predicted by constraint-based modelling,MaryAnn Blätke,Andrea Bräutigam,2,8,37,21,82,1,6,ECR,Post doc,Professor,NA,Large,Public,Germany,Europe,NA,BioRxiv,female,female,ECR,Non_ECR
28,28,A chronology of multicellularity evolution in cyanobacteria,Katrin Hammerschmidt,Tal Dagan,4,11,35,24,96,5,11,ECR,Post doc,Professor,NA,Large,Public,Germany,Europe,NA,BioRxiv,female,male,ECR,Non_ECR
29,29,Hypoxia increases the tempo of evolution in glioblastoma,David Robert Grimes,David Basanta,5,13,25,51,109,8,19,ECR,Post doc,Professor,NA,Medium,Public,Ireland/UK,Europe,NA,BioRxiv,male,male,ECR,Non_ECR
30,30,Horizontal gene transfer drives the evolution of dependencies in bacteria,Akshit Goyal,NA,1,5,NA,11,NA,6,NA,ECR,Post doc,NA,NA,Medium,Private,USA,North America,NA,BioRxiv,male,NA,ECR,ECR
31,31,Microbial biogeography and ecology of the mouth and implications for periodontal diseases,Diana M. Proctor,David A. Relman,13,6,91,10,436,3,12,ECR,Post doc,Professor,NA,Medium,Private,USA,North America,NA,BioRxiv,female,male,ECR,Non_ECR
32,32,Mast seeding promotes evolution of scatter-hoarding,Rafal Zwolak,Sebastian Schreiber,4,16,32,38,122,2,20,Professor,NA,Professor,NA,Large,Public,Poland,Europe,NA,BioRxiv,male,male,Non_ECR,Non_ECR
33,33,Inferring punctuated evolution in the learned songs of African sunbirds,Jay McEntee,Rauri C.K. Bowie,11,9,41,23,158,5,7,ECR,Professor,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,male,female,ECR,Non_ECR
34,34,Unexpected harvesting-induced evolution of collective behavior in a fish,Valerio Sbragaglia,Robert Arlinghaus,4,11,66,51,334,4,7,ECR,Post doc,Professor,NA,Large,Public,Germany,Europe,NA,BioRxiv,male,male,ECR,Non_ECR
35,35,Evolution in alternating environments with tunable inter-landscape correlations,Jeff Maltas,Kevin B. Wood,3,5,12,12,27,4,10,ECR,PhD,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,male,male,ECR,Non_ECR
36,36,Evolution of the DAN gene family in vertebrates,Juan C. Opazo,Scott V. Edwards,4,33,71,89,248,9,13,Professor,NA,Professor,NA,Medium,Private,Chile,South America,NA,BioRxiv,male,male,Non_ECR,Non_ECR
37,37,"Evolution of preferences in structured populations: genes, guns, and culture",Ingela Alger,Laurent Lehmann,3,15,36,72,93,1,15,Professor,NA,Professor,NA,Large,Public,France,Europe,NA,BioRxiv,NA,male,Non_ECR,Non_ECR
38,38,Understanding the evolution of interspecies interactions in microbial communities,Florien Gorter,Martin Ackermann,3,7,41,11,93,1,13,ECR,Post doc,Professor,NA,Large,Public,Switzerland,Europe,NA,BioRxiv,NA,male,ECR,Non_ECR
39,39,Evolution of Larval Segment Position across 12 Drosophila Species,Gizem Kalay,Susan E. Lott,8,4,8,7,17,2,3,ECR,Post doc,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,female,female,ECR,Non_ECR
40,40,Continual evolution through coupled fast and slow feedbacks,Meike T. Wortel,Nils Chr-Stenseth,4,8,109,13,1023,3,6,ECR,Professor,Professor,NA,Large,Public,Norway,Europe,NA,BioRxiv,female,male,ECR,Non_ECR
41,41,Parallel evolution of tobramycin resistance across species and environments,Michelle Scribner,Vaughn Cooper,5,3,29,5,140,3,22,ECR,PhD,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,female,male,ECR,Non_ECR
42,42,Plant eco-evolution weakens mutualistic interaction with declining pollinator populations,Avril Weinbach,Rudolf P. Rohr,3,3,23,6,55,3,2,ECR,PhD,ECR,Professor,Large,Public,France,Europe,NA,BioRxiv,female,male,ECR,ECR
43,43,Evolution at the edge of expanding populations,Maxime Deforet,Joao B. Xavier,4,13,44,19,95,2,11,ECR,Post doc,Professor,NA,Large,Public,France,Europe,NA,BioRxiv,male,male,ECR,Non_ECR
44,44,The evolution of egg trading in simultaneous hermaphrodites,Jorge Peña,Oscar Puebla,3,12,11,31,26,10,1,ECR,Professor,ECR,Professor,Large,Public,France,Europe,NA,BioRxiv,male,male,ECR,ECR
45,45,Protective microbiomes can limit the evolution of host pathogen defense,Jessica E. Metcalf,Britt Koskella,2,40,27,173,63,4,5,Professor,NA,ECR,Professor,Small,Private,USA,North America,NA,BioRxiv,female,male,Non_ECR,ECR
46,46,Selective sweeps in a nutshell; the genomic footprint of rapid insecticide resistance evolution in an insect,Bernarda Calla,May Berenbaum,2,11,82,33,699,1,1,ECR,Post doc,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,female,female,ECR,Non_ECR
47,47,Assembly of a young vertebrate Y chromosome reveals convergent signatures of sex chromosome evolution,Catherine L. Peichel,Michael A. White,11,46,14,107,15,2,4,Professor,NA,ECR,Professor,Medium,Public,Switzerland,Europe,NA,BioRxiv,female,male,Non_ECR,ECR
48,48,Evolution transforms pushed waves into pulled waves,Philip Erm,Ben L. Phillips,2,1,49,2,161,2,7,ECR,PhD,Professor,NA,Large,Public,England/UK,Europe,NA,BioRxiv,male,male,ECR,Non_ECR
49,49,Marine sediments illuminate Chlamydiae diversity and evolution,Jennah Dharamshi,Thijs J. G. Ettema,9,3,38,4,99,2,10,ECR,PhD,Professor,NA,Large,Public,Sweden,Europe,NA,BioRxiv,female,male,ECR,Non_ECR
50,50,Evolution of Phototransduction Genes in Lepidoptera,Aide Macias-Muñoz,Adriana D. Briscoe,3,5,35,15,97,3,3,ECR,Post doc,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,female,female,ECR,Non_ECR
51,51,"Evolution in interacting species alters predator life history traits, behavior and morphology in experimental microbial communities",Johannes Cairns,Teppo Hiltunen,5,8,16,23,45,2,2,ECR,Post doc,Professor,NA,Large,Public,Finland,Europe,NA,BioRxiv,male,NA,ECR,Non_ECR
52,52,Intra-Species Differences in Population Size shape Life History and Genome Evolution,David Willemsen,Dario Riccardo-Valenzano,4,4,19,8,42,2,6,ECR,Post doc,Principal Investigator,NA,NA,NA,Germany,Europe,NA,BioRxiv,male,male,ECR,Non_ECR
53,53,The compact genome of Giardia muris reveals important steps in the evolution of intestinal protozoan parasites,Feifei Xu,Jon Jerlström Hultqvist,9,7,15,15,26,1,1,ECR,Post doc,ECR,Post doc,Large,Public,Sweden,Europe,NA,BioRxiv,NA,male,ECR,ECR
54,54,Doesbreeding seasonvariation affectevolution of a sexual signaling trait in a tropical lizard clade?,Levi N. Gray,Brittney A. White,6,7,2,33,9,1,1,ECR,Post doc,ECR,PhD,Large,Public,USA,North America,NA,BioRxiv,male,female,ECR,ECR
55,55,Horizontal transfer and gene loss shaped the evolution of alpha-amylases in bilaterians,Andrea Desiderato,Jean-Luc Da Lage,4,3,19,12,42,2,3,ECR,PhD,NA,NA,Large,Public,Brazil,South America,NA,BioRxiv,female,NA,ECR,ECR
56,56,Discordant evolution of mitochondrial and nuclear yeast genomes at population level,Matteo De Chiara,Gianni Liti,6,8,34,15,92,4,14,ECR,Post doc,Professor,NA,Large,Public,France,Europe,NA,BioRxiv,male,male,ECR,Non_ECR
57,57,Altitude and life-history shape the evolution of Heliconius wings,Gabriela Montejo-Kovacevich,Chris D. Jiggins,7,3,68,8,243,5,38,ECR,PhD,Professor,NA,Large,Public,England/UK,Europe,NA,BioRxiv,female,male,ECR,Non_ECR
58,58,A roadmap to mammalian oral microbiome evolution with dental calculus,Jaelle C. Brealey,Katerina Guschanski,7,5,17,11,33,3,5,ECR,Post doc,Professor,NA,Large,Public,Sweden,Europe,NA,BioRxiv,female,female,ECR,Non_ECR
59,59,tartan underlies the evolution of male Drosophila genital morphology,Joanna F. D. Hagen,Maria Daniela S. Nunes,10,1,12,3,20,2,7,ECR,Post doc,NA,NA,Medium,Public,England/UK,Europe,NA,BioRxiv,female,female,ECR,ECR
60,60,Modelling the evolution of viral oncogenesis,Carmen Lia Murall,Samuel Alizon,2,8,30,23,118,7,13,ECR,Post doc,Research Director,NA,Large,Public,France,Europe,NA,BioRxiv,female,male,ECR,Non_ECR
61,61,Dynamic Genome Evolution and Blueprint of Complex Virocell Metabolism in Globally-Distributed Giant Viruses,Mohammad Moniruzzaman,Frank O Aylward,4,9,19,19,49,3,6,ECR,Post doc,ECR,Professor,Large,Public,USA,North America,NA,BioRxiv,male,male,ECR,ECR
62,62,Geometry and evolution of the ecological niche in plant-associated microbes,Thomas M. Chaloner,Daniel P. Bebber,3,2,33,6,90,2,6,ECR,PhD,Professor,NA,Large,Public,England/UK,Europe,NA,BioRxiv,male,male,ECR,Non_ECR
63,63,The evolution of multicellular complexity: the role of relatedness and environmental constraints,Roberta M Fisher,Jacobus J. Boomsma,3,7,73,10,405,1,4,ECR,Post doc,Professor,NA,Large,Public,Denmark,Europe,NA,BioRxiv,female,male,ECR,Non_ECR
64,64,Six new reference-quality bat genomes illuminate the molecular basis and evolution of bat adaptations,David Jebb,Emma C. Teeling,30,7,37,14,120,2,5,ECR,Post doc,Professor,NA,Large,Public,Germany,Europe,NA,BioRxiv,male,female,ECR,Non_ECR
65,65,Parameter tuning facilitates the evolution of diverse tunneling patterns in termites,Mizumoto Nobuaki,Steven C. Pratt,3,6,33,29,129,4,3,ECR,PhD,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,NA,male,ECR,Non_ECR
66,66,Population genetic models of GERP scores suggest pervasive turnover of constrained sites across mammalian evolution,Christian D. Huber,Kirk Lohmueller,3,19,31,41,90,12,22,ECR,Early career research fellow,Professor,NA,Large,Public,Australia,Australia,NA,BioRxiv,male,male,ECR,Non_ECR
67,67,The role of multilevel selection in host microbiome evolution,Simon van-Vliet,Michael Doebeli,2,10,54,16,183,4,4,ECR,Post doc,Professor,NA,Medium,Public,Switzerland,Europe,NA,BioRxiv,male,male,ECR,Non_ECR
68,68,Evolution in novel environments: do restored prairie populations experience strong selection?,Susan M. Magnoli,Jennifer A. Lau,2,3,26,9,58,1,1,ECR,Post doc,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,female,female,ECR,Non_ECR
69,69,Rate variation in the evolution of non-coding DNA associated with social evolution in bees,Benjamin E.R. Rubin,Sarah D. Kocher,4,10,19,16,44,3,3,ECR,Post doc,Associate research scholar,NA,Small,Private,USA,North America,NA,BioRxiv,male,female,ECR,Non_ECR
70,70,"Behaviour, biology, and evolution of vocal learning in bats",Sonja Vernes,Gerald Wilkinson,2,21,55,112,149,5,1,Research group leader,NA,Professor,NA,Large,Public ,USA,North America,NA,BioRxiv,female,male,Non_ECR,Non_ECR
71,71,"An Escherichia coli ST131 pangenome atlas reveals population structure and evolution across 4,071 isolates",Arun Gonzales-Decano,Tim Downing,2,6,16,17,38,5,7,ECR,PhD,Professor,NA,Medium,Public,Ireland/UK,Europe,NA,BioRxiv,male,male,ECR,Non_ECR
72,72,Contingent Convergence: The ability to detect convergent genomic evolution is dependent on population size and migration,James R. Whiting,Bonnie A. Fraser,2,1,11,6,17,2,1,ECR,Post doc,ECR,Senior lecturer,Large,Public,England/UK,Europe,NA,BioRxiv,male,female,ECR,ECR
73,73,The microevolutionary response to male-limited X-chromosome evolution in Drosophila melanogaster reflects macroevolutionary patterns,Jessica K. Abbott,Edward H. Morrow,3,18,32,49,86,8,10,ECR,Senior lecturer,Professor,NA,Large,Public,Sweden,Europe,NA,BioRxiv,female,male,ECR,Non_ECR
74,74,Empirical patterns of environmental variation favor the evolution of adaptive transgenerational plasticity,Jack M. Colicchio,Jacob J. Herman,2,6,6,13,8,2,1,ECR,Post doc,ECR,Science writer,Large,Public,USA,North America,NA,BioRxiv,male,male,ECR,ECR
75,75,Evolution of Gene Expression and Splicing in Parallel Cold-Adapted Fly Populations,Yuheng Huang,John E. Pool,4,4,24,9,43,1,10,ECR,Post doc,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,NA,male,ECR,Non_ECR
76,76,Evolution of crab eye structures and the utility of ommatidia morphology in resolving phylogeny,Javier Luque,Joanna M. Wolfe,7,12,10,50,18,1,4,ECR,Post doc,ECR,Post doc,Medium,Private,USA,North America,NA,BioRxiv,male,female,ECR,ECR
77,77,Evidence for rapid evolution in a grassland biodiversity experiment,Sofia J van Moorsel,Philippine Vergeer,6,6,23,13,62,6,2,ECR,Post doc,Professor,NA,Large,Public,Switzerland,Europe,NA,BioRxiv,female,NA,ECR,Non_ECR
78,78,Evolution of conspicuousness in defended species involved in Müllerian mimicry,Ombeline Sculfort,Violaine Llaurens,5,1,16,3,49,1,6,ECR,Post doc,Lead researcher,NA,Large,Public,France,Europe,NA,BioRxiv,NA,NA,ECR,Non_ECR
79,79,Ecological scaffolding and the evolution of individuality: the transition from cells to multicellular life,Andrew J. Black,Paul B. Rainey,3,10,69,29,195,2,16,ECR,Early career research fellow,Professor,NA,Large,Public,Australia,Australia,NA,BioRxiv,male,male,ECR,Non_ECR
80,80,Rapid growth and defence evolution following multiple introductions,Lotte A. van-Boheemen,Kathryn A. Hodgins,4,5,20,9,46,3,5,ECR,Data scientist,Senior Lecturer,NA,Large,Public,Australia,Australia,NA,BioRxiv,female,female,ECR,Non_ECR
81,81,Convergent evolution of sex-specific leg ornaments in Drosophilidae – from cells to structures,Kohtaro Tanaka,Artyom Kopp,4,6,35,9,89,1,6,ECR,Post doc,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,NA,male,ECR,Non_ECR
82,82,Spatial structure governs the mode of tumour evolution,Robert Noble,Niko Beerenwinkel,4,7,52,16,232,6,25,ECR,Post doc,Professor,NA,Large,Public,Switzerland,Europe,NA,BioRxiv,male,male,ECR,Non_ECR
83,83,"Incorporating uncertainty is essential to macroecological inferences: Grass, grit, and the evolution of kangaroos",Ian G. Brennan,NA,1,6,NA,26,NA,3,NA,ECR,Post doc,NA,NA,Large,Public,Australia,Australia,NA,BioRxiv,male,NA,ECR,ECR
84,84,Evolution rapidly optimizes stability and aggregation in lattice proteins despite pervasive landscape valleys and mazes,Jason Bertram,Joanna Masel,2,6,26,14,76,6,11,ECR,Biology fellow,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,male,female,ECR,Non_ECR
85,85,Evolution of simple multicellular life cycles in dynamic environments,Yuriy Pichugin,Arne Traulsen,3,4,59,11,254,9,27,ECR,Post doc,Professor,NA,NA,NA,Germany,Europe,NA,BioRxiv,male,male,ECR,Non_ECR
86,86,CaMKII oxidation is a performance/disease trade-off in vertebrate evolution,Qinchuan Wang,Mark E Anderson,21,11,72,32,419,3,4,ECR,Research associate,Professor,NA,Large,Private,USA,North America,NA,BioRxiv,NA,male,ECR,Non_ECR
87,87,Evolution under pH stress and high population densities leads to increased density-dependent fitness in the protist Tetrahymena thermophila,Felix Moerman,Emanuel A. Fronhofer,6,1,21,5,49,4,25,ECR,PhD,ECR,CNRS researcher,Large,Public,Switzerland,Europe,NA,BioRxiv,male,male,ECR,ECR
88,88,Tracking microbial evolution in the human gut using Hi-C,Eitan Yaffe,David A. Relman,2,11,91,11,436,1,12,ECR,Post doc,Professor,NA,Medium,Private,USA,North America,NA,BioRxiv,male,male,ECR,Non_ECR
89,89,Emergence and evolution of the ERM proteins and merlin in metazoans,Victoria Shabardina,Wojciech Makalowski,4,3,40,13,192,1,3,ECR,Post doc,Professor,NA,Large,Public,Germany,Europe,NA,BioRxiv,female,male,ECR,Non_ECR
90,90,The multi-peak adaptive landscape of crocodylomorph body size evolution,Pedro L. Godoy,Richard J. Butler,4,5,42,11,155,3,2,ECR,Post doc,Professor,NA,Large,Public,USA,North America,NA,BioRxiv,male,male,ECR,Non_ECR
91,91,"Expression atlas of Selaginella moellendorffii provides insights into the evolution of vasculature, secondary metabolism and roots",Camilla Ferrari,Marek Mutwil,11,5,22,13,58,7,16,ECR,Post doc,ECR,Professor,Large,Public ,Singapore,Asia,NA,BioRxiv,female,male,ECR,ECR
92,92,Parallel Evolution in the Emergence of Highly Pathogenic Avian Influenza A Viruses,Marina Escalera-Zamudio,Oliver G. Pybus,8,10,91,28,303,3,31,ECR,Post doc,Professor,NA,Large,Public,England/UK,Europe,NA,BioRxiv,female,male,ECR,Non_ECR
93,93,The evolution of parental effects when selection acts on fecundity versus viability,Bram Kuijper,Rufus Johnstone,2,18,64,33,194,6,5,ECR,Research fellow,NA,NA,Large,Public,England/UK,Europe,NA,BioRxiv,male,male,ECR,ECR
94,94,Genome sequencing of the nine-spined stickleback (Pungitius pungitius) provides insights into chromosome evolution,Srinidhi Varadharajan,Juha Merilä,9,5,83,7,526,4,8,ECR,PhD,Professor,NA,Large,Public,Norway,Europe,NA,BioRxiv,female,NA,ECR,Non_ECR
95,95,Behavioural mechanisms underlying the evolution of cooperative burrowing in Peromyscus mice,Nicole L. Bedford,Hopi E. Hoekstra,7,4,50,6,144,2,15,ECR,Post doc,Professor,NA,Large,Private,USA,North America,NA,BioRxiv,female,female,ECR,Non_ECR
96,96,Interdependent Phenotypic and Biogeographic Evolution Driven by Biotic Interactions,Ignacio Quintero,Michael J. Landis,2,6,9,11,27,3,9,ECR,PhD,ECR,Post doc,Medium,Private,USA,North America,NA,BioRxiv,male,male,ECR,ECR
97,97,Computational complexity as an ultimate constraint on evolution,Artem Kaznatcheev,NA,1,9,NA,28,NA,9,NA,ECR,PhD,NA,NA,Large,Public,England/UK,Europe,NA,BioRxiv,male,NA,ECR,ECR
98,98,Incipient local adaptation in a fungus: evolution of heavy metal tolerance through allelic and copy-number variation,Anna L. Bazzicalupo,Sara Branco,8,3,19,11,41,1,1,ECR,Post doc,ECR,Professor,Medium,Public,USA,North America,NA,BioRxiv,female,female,ECR,ECR
99,99,Resolving genetic linkage reveals patterns of selection in HIV-1 evolution,Muhammad Saqib-Sohail,John P Barton,4,7,15,23,29,2,5,ECR,PhD,ECR,Professor,Medium,Public,Hong Kong,Asia,NA,BioRxiv,male,male,ECR,ECR
100,100,Lost in Translation: population genomics and long-read sequencing reveals relaxation of concerted evolution of the ribosomal DNA cistron,Keaton S Tremble,Bryn T. M. Dentinger,3,0,24,2,84,1,3,ECR,PhD,ECR,Professor,Large,Public,USA,North America,NA,BioRxiv,male,female,ECR,ECR
101,1,A minimalist model of extinction and range dynamics of virtual mountain species driven by warming temperatures,Jonathan Giezendanner,Andrea Rinaldo,5,3,87,10,681,0,4,ECR,Post doc,Professor,NA,Medium,Public,Switzerland,Europe,2.87,PLOS One,male,female,ECR,Non_ECR
102,2,"Butterfly abundance declines over 20 years of systematic monitoring in Ohio, USA",Tyson Wepprich,Nick M. Haddad,5,3,45,7,118,4,2,ECR,Post doc,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,male,male,ECR,Non_ECR
103,3,Effect of preservation on fish morphology over time: Implications for morphological studies,Alex V. Sotola,Timothy H. Bonner,6,4,21,21,120,0,0,ECR,Post doc,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,male,male,ECR,Non_ECR
104,4,Copulatory behaviour in the Bonelli´s Eagle: Assessing the paternity assurance hypothesis,Jose E. Martinez,Antoni Margalida,6,26,44,119,269,0,0,Professor,NA,Researcher,NA,Large,Public,Spain,Europe,2.87,PLOS One,male,male,Non_ECR,Non_ECR
105,5,"Immigration and establishment of Trypanosoma cruzi in Arequipa, Peru",Alexander S.F. Berry,Dustin Brisson,10,3,30,9,155,4,4,ECR,Post doc,Professor,NA,Large,Private,USA,North America,2.87,PLOS One,male,male,ECR,Non_ECR
106,6,Characterizing innovators: Ecological and individual predictors of problem-solving performance,Sanjay Prasher,Julie Morand-Ferron,4,1,27,3,71,0,1,ECR,PhD,Professor,NA,Large,Public,Canada,North America,2.87,PLOS One,male,female,ECR,Non_ECR
107,7,Plant-soil feedbacks promote coexistence and resilience in multi-species communities,Keenan M. L. Mack,James D. Bever,3,8,64,16,246,0,1,Professor,NA,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,male,male,Non_ECR,Non_ECR
108,8,Combining stable isotope analysis with DNA metabarcoding improves inferences of trophic ecology,Melissa R. L. Whitaker,NA,5,5,60,17,576,1,9,ECR,Post doc,Professor,NA,Large,Private,USA,North America,2.87,PLOS One,female,NA,ECR,Non_ECR
109,9,Forest resilience under global environmental change: Do we have the information we need? A systematic review,Inés Ibáñez,Jordon Tourville,8,32,1,94,5,0,0,Professor,NA,ECR,PhD,Large,Public,USA,North America,2.87,PLOS One,NA,male,Non_ECR,ECR
110,10,Multi-scale patterns of tick occupancy and abundance across an agricultural landscape in southern Africa,Kimberly J. Ledger,Samantha M. Wisel,4,3,27,5,144,0,1,ECR,Masters,Professor,NA,Large,Public,USA,North America,2.87,PLOS One,female,female,ECR,Non_ECR
